,/records/record/#id,/records/record/abstract/style,/records/record/auth-address/style,/records/record/contributors/authors/author/style,/records/record/dates/year/style,/records/record/keywords/keyword/style,/records/record/periodical/full-title/style,/records/record/titles/title/style
68,69,"Abstract: In recent decades, neighbourhood regeneration has often involved social mixing strategies, often through comprehensive renewal. By deconcentrating poverty and giving opportunities for social interaction, remaining residents are believed to benefit from middle-class presence. This study looks at a post-war neighbourhood in Amsterdam which has undergone comprehensive renewal. By making use of survey data in combination with GIS techniques, this study shows that perceptions are structured by physical characteristics, activity patterns and symbolic boundaries. These perceptions are highly dependent on social position. While some residents in renewal areas display inclusionary attitudes, there is also evidence of middle-class and lower class disaffiliation. Interestingly, these translate into different mental maps for both groups. The paper ends with a methodological reflection on using GIS-based boundary drawing in neighbourhood surveys to gauge fragmentation and place-based displacement. © 2016 IBF, The Institute for Housing and Urban Research.","Centre for Urban Studies, University of Amsterdam, Amsterdam, Netherlands",,2016,Social mix,"Housing, Theory and Society",Surveying the Fault Lines in Social Tectonics; Neighbourhood Boundaries in a Socially-mixed Renewal Area
19,20,"Flash floods are characterized by their suddenness, fast and violent movement, rarity, small scale but high level of damage. They are particularly difficult to forecast accurately and there is little lead time for warning. This makes motorists especially vulnerable. Assuming that these flash flood hazard specificities may be the significant factors leading to difficulties for drivers to perceive danger, we used cognitive mapping combined with GIS data processing to assess motorists' flash flood risk perception on their daily itineraries. The analysis of 200 mental maps collected allows planners to have maps highlighting dangerous areas where risk perception is weak and to identify reasons for this. © 2007 Elsevier Ltd. All rights reserved.","Université de Grenoble, UMR 5194 Pacte-CNRS, 14 bis, rue Marie Reynoard, 38100 Grenoble, France","Ruin, I.",2007,,Environmental Hazards,How to get there? Assessing motorists' flash flood risk perception on daily itineraries
59,60,"Definitions of neighbourhood in the Social Sciences are complex, varying in their characteristics (for example, perceived boundaries and content) and between residents of that neighbourhood (for example, by class and ethnicity). This study employs an under-utilised methodology offering strong potential for overcoming some of the difficulties associated with neighbourhood definitions. A mental mapping exercise involving local residents is showcased for an ethnically diverse working-class neighbourhood in south Liverpool. The results demonstrate distinctions between residents in the geographical demarcation of the area and the features included, with important implications for how neighbourhood is best measured and understood. We suggest that one size does not fit all in definitions of neighbourhood, and that mental mapping should form a more common part of a neighbourhood researcher’s toolkit. © The Author(s) 2018.","University of Liverpool, United Kingdom","Catney, G.",2019,,Qualitative Research,Residents’ perspectives on defining neighbourhood: mental mapping as a tool for participatory neighbourhood research
75,76,"This study uses participatory research in spatial anthropology. The aim of the study is to demonstrate the possibilities in using maps in ethnology and anthropology, and to introduce the potential of the interdisciplinary cooperation of cartographers and geographers with ethnologists and anthropologists. In addition, the authors try to demonstrate the influence of maps and visual information on the life of a local community and local education using examples. In their study, the authors show the results of the field research which they carried out together on the Nungon community in Papua New Guinea. The authors show that sharing the results of the research with the participants may generate other research questions and bring new research topics in spatial anthropology. © 2018 The Institute of Ethnology of the Czech Academy of Sciences v.v.i.. All rights reserved.","Katedra Sociologie, Andragogiky a Kulturní Antropologie, Filozofická Fakulta Univerzity Palackého, tř. Svobody 686/26, Olomouc, 779 00, Czech Republic
 Katedra Geografie, Přírodovědecká Fakulta, Univerzity Jana Evangelisty Purkyně, České mládeže 8, Ústí nad Labem, 400 96, Czech Republic","Soukup, M.",2018,,Cesky Lid,Visual spatial representation of social and cultural phenomena and its effect on local education: The case of Papua New Guinea
76,77,"With an easily accessible online interface, Walk Score® has emerged as one of the most popular metrics to assess walkability, both within and outside academia. Based primarily on accessibility to common daily amenities, this quantitative measure is limited to a macro-scale view of urban form that does not consider micro-scale design elements that can significantly impact walking behavior such as building setbacks, sidewalk characteristics, lighting, or traffic volume. This study employed a survey and cognitive mapping exercise to identify neighborhood typologies in which Walk Score and residents’ perceptions of walkability are most likely to align, and, more crucially, where they are most likely to be at odds. Relative to residents’ perceptions, Walk Score tended to overestimate the walkability of suburban strip-mall corridors and underestimate the walkability of recreational areas and small entertainment districts. Potential differences in residents’ perceptions of walkability, and their associations with Walk Score, were also explored. © 2018 Informa UK Limited, trading as Taylor & Francis Group.","Department of Geography/Geology, University of Nebraska at Omaha, Omaha, NE, United States",,2018,Walkability,Journal of Urbanism,"Walk score® versus residents’ perceptions of walkability in omaha, ne"
5,6,"Perception of space is an especially important part of research on urban fabric. The perception of a city is strongly correlated not only with a specific time and place but, first and foremost, with surveyed populations who, apart from having varying demographic features, frequently represent disparate community and cultural profiles. The objective of this study was to assess how the urban space of Szczecin (Poland) is perceived by its inhabitants and to ascertain the relations between various image elements. The example of Szczecin appears to be interesting, in as much as it is a peripheral city of a cross-border region with a historically and culturally diverse local community. The presented research used a method of analysing mental (image) maps based on the methodology proposed by Kevin Lynch (1960) and modified by the authors to incorporate in-depth interviews. Individual respondents' views were used to create a synthetic image of the city. © 2019 Barbara Osóch, Anna Czaplińska, published by Sciendo.","Human Geography and Spatial Organization Unit, Institute of Socio-Economic Geography and Spatial Management, Faculty of Geosciences, University of Szczecin, Szczecin, Poland","Osóch, B.",2019,,Miscellanea Geographica,City image based on mental maps-the case study of Szczecin (Poland)
65,66,"The present study deals with aspects of the child's construction of mental representations of the contemporary city. Its aim is a compilation of a body of concepts-criteria for the organization of built environments for child activity, environments that will serve in the direction of child education, not simply act as material framework for his activity. The study is organized around two axes of argumentation. The first axis regards the contemporary city itself, the interpretation of its structure, and of the organization of its public space, the qualities linked to the spatio-temporal activity of the individual and social interaction. Subjects emerging from the literature such as alienation, fragmentary experience of space, changes in the public-private relation, and, broader topics such as changes in the identity of the residence area, as well as of the city, provided the orientation for the questions raised in this research. The second axis concerns epistemological issues of the construction of mental representations of space. On this latter level, we attempt to build our approach on the basis of social interactionism, which promotes the concept of activity to a significant factor in the assignment of meaning to space. From this theoretical discussion emerges the concept of socio-spatial strategic activity, which, along with other social and geographical variables, became the tools in the analysis of the data yielded by our field research (interviews, mental maps), conducted in Thessaloniki, on a sample of seventy-seven eleven- and twelve-year-olds. © 2009 by Walter de Gruyter GmbH & Co. KG.","Aristotle University of Thessaloniki, Greece","Tsoukala, K.",2009,,Semiotica,"Spatial representation, activity, and meaning: Children's images of the contemporary city"
54,55,"Many fisheries management interventions are in the form of spatial regulations that change fishers' access to fishing grounds. How fishers respond to regulations directly affects the ecological and socioeconomic outcomes of management objectives, but little attention is paid to fishers' willingness and ability to make spatial adjustments. We investigate the spatial preferences of small-scale fishers in Sabah, Malaysia, within a framework of mental maps and perceptions. We find that the majority of fishers fish within preferred resource spaces that were heavily influenced by perceptions of safety. Most fishers exhibit low flexibility to adapt to spatial changes, based on i) unwillingness to travel beyond preferred resource spaces; ii) unwillingness to leave the fishery; and iii) low to no alternative employment opportunities. We emphasize the need to uncover and understand human dimension parameters to reduce uncertainty surrounding human behaviour, and ultimately facilitate the attainment of fisheries management objectives. © Springer Science+Business Media, LLC 2012.","Fisheries Centre, University of British Columbia, 2202 Main Mall, Vancouver, BC V6T 1Z4, Canada
 Department of Forest Resources Management, Faculty of Forestry, University of British Columbia, Vancouver, BC, Canada",,2012,Small-scale fisheries,Human Ecology,Preferred resource spaces and fisher flexibility: Implications for spatial management of small-scale fisheries
53,54,"To examine a postcolonial approach to urban experience is to inquire about how cities and people operate beyond the structures and analytical frameworks that have emerged from Western urban theory. Much of the emerging research in the field is looking for ways to valorize the myriad efforts that residents put forth to live and thrive in the city. Many methodological approaches, however, are still directed by the researcher, who determines the data-collection activities and the guidelines by which they are carried out. Using a case study of urban farmers in Dar es Salaam, Tanzania, this article is an effort to articulate a postcolonial methodology where the research and data collection methods were designed to give voice to the people marginalized by narrow definitions of the city, who are often seen as victims rather than as active agents constructing their own lives. This approach reveals the very real and tangible experiences and relationships that constitute daily life for the urban farmers of Dar es Salaam. Key Words: mental mapping, photo voice, postcolonial methods, Tanzania, urban farming. © 2013 Copyright Taylor and Francis Group, LLC.","Department of Geography, University of Oregon, 1251 University of Oregon, Condon Hall #107, Eugene, OR 97402, United States","McLees, L.",2013,,Professional Geographer,"A Postcolonial Approach to Urban Studies: Interviews, Mental Maps, and Photo Voices on the Urban Farms of Dar es Salaam, Tanzania"
17,18,"Many young people in low-income neighbourhoods are considered to be at risk of poor social outcomes and of becoming victims of violence and crime. This exploratory study focuses on how young people perceive risk and navigate their environment in two low-income, multi-ethnic neighbourhoods, one in Rotterdam and one in Chicago. We conducted in-depth interviews and mental mapping exercises with young people aged 14–19 in both sites. We found that neighbourhoods matter because they expose young people to certain kinds of risks, but also that their responses were shaped by their perceptions and interpretations of these risks. Moreover, we illustrate the dynamic and interactive nature of these processes of risk perception and management by discussing the ways in which different groups occupy and use, or travel through, public space at different times of the day. We argue that risk in disadvantaged neighbourhoods is not a static dimension in young people’s lives but rather emerges from an ongoing and complex interaction between perception, interpretation and response that can be seen as a kind of boundary work. © 2017 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Department of Human Geography and Planning, Utrecht University, Utrecht, Netherlands
 School of Social Work, University of Missouri-St. Louis, St. Louis, MO, United States
 School of Social Service Administration, University of Chicago, Chicago, IL, United States","Visser, K.",2017,,Journal of Youth Studies,"Hot times, hot places. Youths’ risk perceptions and risk management in Chicago and Rotterdam"
62,63,"Integrated water resources management, promoted in developed countries, obliges to integrate social aspects with hydrological and ecological dimensions when assessing river quality. To better understand these social aspects, we propose a mixed-method to study public perceptions of an impounded river. Since the 1930s, the management of the Ain river (France) has been challenged by conflicts about the river’s quality. We surveyed (using interviews and mental maps) various stakeholders along the river. The results based on textual and content analysis show variations in the public’s perceptions according to the residence area, practices, and the degree of emotional attachment to the river. The assessment of environmental quality needs to take into account different types of knowledge, sometimes conflicting, that reveal and shape the variety of waterscapes which compose the Ain River. The social dimensions highlight integrated water management’s inherent complexity by considering the river basin as a place to live and by involving multiple stakeholders. © 2018, Royal Swedish Academy of Sciences.","CNRS UMR 5600 Environnement Ville Société, ENS de Lyon, 15 Parvis René Descartes, University of Lyon, 15 Parvis René Descartes, BP 7000, Lyon Cedex 07, 69342, France
 UMR 6049 ThéMA, Université de Franche-Comté, University of Franche-Comté, 32 rue Mégevand, Besançon Cedex, 25030, France",,2019,Waterscape,Ambio,The social dimensions of a river’s environmental quality assessment
187,188,"From nano-plastics to large sunken vessels, marine debris presents a threat to humans and ecosystems worldwide. Fishermen's knowledge of the sources of, and risks posed by medium to large debris derived from fishing, aquaculture, and other marine industries provides important context for debris mitigation. Public participation geographic information systems (PPGIS) can address these risks by integrating subjective and objective spatial data on human and environmental impacts and risks. We integrated fishermen's perceptions and experiences with marine debris with spatial data using PPGIS. We developed a georeferenced database of fishermen's experiences with marine debris, collected during focus groups and at various other meetings in Southwest New Brunswick. This layer was used to integrate baseline data with subjective perceptions of the ecological, economic, and navigational risks associated with marine debris in the Bay of Fundy, Canada. We also documented the physical, technical, political, and regulatory challenges to marine debris mitigation. These challenges highlight the social and environmental processes that complicate any projects that attempt to develop uncontested spatial representations of marine debris. Finally, we discuss the potential of PPGIS to address these challenges by fostering communication, coordinating various marine activities, helping stakeholders set priorities for clean-up, and implementing collaborative clean-up projects. (C) 2016 Elsevier Ltd. All rights reserved.",,"Maillet, D. G. C.",2016,,Ocean & Coastal Management,"The role of public participation GIS (PPGIS) and fishermen's perceptions of risk in marine debris mitigation in the Bay of Fundy, Canada"
9,10,"In many communities in northern Ghana, the environment has been altered by complex natural and human driven forces with significant impact on the lives of their inhabitants. The need to formulate an improved, holistic and consistent methodological approach to assess the problem is critical for sustainable natural resource management. This paper examines the potential of the DPSIR environmental assessment framework utilizing GIS-based participatory methodology in the assessment of environmental degradation in northern Ghana. Community truthing tools such as key informant interviews, focus group discussions, participant observation and participatory Geographical Information Systems (GIS) were employed as a means of soliciting societal responses integrated to conventional GIS spatial analysis to measure the indicators of the Driving force-Pressure-State-Impacts-Response (DPSIR) assessment framework. Post classification GIS imagery results show a marked natural vegetation decrease of 634 km2 (42%) of the study area with a corresponding increase of 600 km2 (39%) of grasses and built-up and barren environment in the period of 14 years from 1990 to 2004. This is attributed to extreme climatic conditions and human driven causes such as poverty, population growth, migration and land tenure system. Poverty reduction strategies, amendment of the Mining and Mineral Law (PNDC law 153), improvement of the existing land tenure system and the control of migrants and Fulani herdsmen from neighbouring Burkina Faso were some of the solutions selected by the research participants, to be emphasized in the National Environmental Action Plan (EPA Act 490). This paper concludes that the DPSIR environmental assessment framework is an effective means of organizing complex environmental information to facilitate policy decision making. © 2007 The Authors. Journal compilation © 2007 United Nations.","University for Development Studies, Tamale, Ghana
 School of Geography, University of Leeds, Leeds, United Kingdom
 Department of Environmental Management","Agyemang, I.",2007,,Natural Resources Forum,Application of the DPSIR framework to environmental degradation assessment in northern Ghana
209,210,"Urban consolidation projects aiming to support a more sustainable urban form are among the most controversial issues in urban planning. Although planning professionals have reached a rather consistent consensus on the structural characteristics of sustainable urban form, i.e. urban consolidation or densification policy, these goals are often not shared by inhabitants. The resistance by local residents towards densification is based on the fear of losing the environmental qualities that they appreciate without getting added value. We argue that a planning strategy that is sensitive to the local context and respects the inhabitants' place experiences can help in finding unique solutions and in restraining conflicts. To realize the context sensitive strategy, new kind of location-based information from residents is needed: experiential knowledge that is tightly anchored to specific places. In this study, 3119 respondents from the Helsinki metropolitan area participated in a Web-based survey that helped define the quality factors meaningful to inhabitants. The softGIS method used is an example of public participation GIS that allows the study of inhabitants' location-based experiences. The over 10,000 place experiences gathered were analysed in relation to the home locations of respondents and to the number of urban structural characteristics, including urban density, green structure proportion, and land-use patterns. The findings revealed that although green structure was experientially very valuable, densely built areas were also meaningful for inhabitants, especially in regard to social quality. We conclude that the 'soft', experiential information can be a welcome addition to the other layers of information in evidence-based planning. © 2013 Elsevier B.V.","Aalto University, Department of Surveying and Planning, YTK - Land Use Planning and Urban Studies Group, PO Box 12200, 00076 Aalto, Finland","Kyttä, M.",2013,,Landscape and Urban Planning,Towards contextually sensitive urban densification: Location-based softGIS knowledge revealing perceived residential environmental quality
192,193,"In an increasingly urbanized world, urban green spaces (UGS)are critical for ensuring residents’ health and well-being, due to the ecosystem services provided. Urban planning is being instigated to maximize the potential of UGS to increase responsiveness to major societal and environmental challenges and emerging policy demands. While city-wide perspectives can guide the cities’ governance approach, a more local approach is required to optimize local planning and management of UGS. In this paper we aim to identify the spatial patterns of UGS uses in Lisbon city, Portugal. Specifically, we ask if urban residents have equal accessibility to UGS within their residential zip area and what are the key factors related to residents’ decisions to visit UGS within or outside their zip. We used a Public Participation GIS to collect spatially explicit data about residents most frequented UGS. The survey was directed to respondents from different socio-demographic classes and areas of residence, by using different on-line communication channels, and conducted between February and April 2017. We collected data from 569 respondents, which corresponded to 2010 UGS locations. Our results show that resident's do not have equitable accessibility to UGS, caused by the uneven distribution of green spaces within the city. We also found that the number of residents traveling for UGS outside their zip area (outflux)was significantly related to the green space coverage and vegetation heterogeneity in their own zip area. We found no significant relation between resident's outflux and their sociodemographic characteristics. Our regression model determines that to have less than 50% of outflux Mediterranean cities need to have at least 25% of green space in a zip area. These results can support planners and decision-makers by providing guidance on how to identify areas of unequal accessibility and where to allocate efforts. © 2019 Elsevier GmbH","Centre for Ecology, Evolution and Environmental Changes (cE3c), Faculdade de Ciências, Universidade de Lisboa, Campo Grande, Lisboa 1749-016, Portugal
 Câmara Municipal de Lisboa, Direção Municipal da Estrutura Verde, Ambiente e Energia, Departamento da Estrutura Verde, Av. Francisco Luís Gomes, no 1 Porta 3 - Bloco 4.7Lisboa 1399-021, Portugal",,2019,Urban planning,Urban Forestry and Urban Greening,Should I stay or should I go? Modelling the fluxes of urban residents to visit green spaces
223,224,"Recent attempts to integrate geographic information systems (GIS) and participatory techniques, have given rise to terminologies such as participatory GIS and community-integrated GIS. Although GIS was initially developed for physical geographic application, it can be used for the management and analysis of health and health care data. Geographic information systems, combined with participatory methodology, have facilitated the analysis of access to health facilities and disease risk in different populations. Little has been published about the usefulness of combining participatory methodologies and GIS technology in an effort to understand and inform community-based intervention studies, especially in the context of HIV This article attempts to address this perceived gap in the literature. The authors describe the application of participatory research methods with GIS in the formative phase of a multisite community-based social mobilization trial, using voluntary counseling and testing and post-test support as the intervention. © 2008 Wiley Periodicals, Inc.","Human Sciences Research Council (HSRC), University of KwaZulu-Natal, South Africa
 Human Sciences Research Council (HSRC), South Africa
 Human Sciences Research Council (HSRC), Universities of KwaZulu-Natal (UKZN), Witwatersrand, South Africa
 University of California, Los Angeles, United States","Chirowodza, A.",2009,,Journal of Community Psychology,"Using participatory methods and geographic information systems (GIS) to prepare for an HIV community-based trial in vulindlela, South Africa (project accept-HPTN 043)"
145,146,"Natural resource managers need up-to-date information about how people interact with public lands and the meanings these places hold for use in planning and decision-making. This case study explains the use of public participatory Geographic Information System (GIS) to generate and analyze spatial patterns of the uses and values people hold for the Browns Canyon National Monument in Colorado. Participants drew on maps and answered questions at both live community meetings and online sessions to develop a series of maps showing detailed responses to different types of resource uses and landscape values. Results can be disaggregated by interaction types, different meaningful values, respondent characteristics, seasonality, or frequency of visit. The study was a test for the Bureau of Land Management and US Forest Service, who jointly manage the monument as they prepare their land management plan. If the information generated is as helpful throughout the entire planning process as initial responses seem, this protocol could become a component of the Bureau's planning tool kit.",,"Gronewold, R.",2017,,Case Studies in the Environment,"Participatory Mapping in Browns Canyon National Monument, Colorado (USA)"
21,22,"Addressing the gaps between theory, research and practice, this paper explores a hybrid mindset of participatory action research (PAR), geoprospective and participatory geographical information system (PGIS). This approach brings together stakeholders, policy-makers and researchers - in an agricultural peri-urban region of Portugal, the Lezíria do Tejo region - to anticipate the possible changes in agricultural territories, while taking spatial dynamics into account. It uses a four-step methodology which integrates qualitative and quantitative approaches to select stakeholders' interview areas, implement prospective workshops to engage and explore the stakeholders' interests and encourage actions towards finding solutions for long-term agricultural sustainability in this region. The results from our study highlight that more participative approaches such as the ones developed here must be implemented towards decision-making, since they help to dispel the distrust between stakeholders, strengthen community cohesion and also contribute to build common solutions drawing upon various perspectives. From a PAR perspective, this work contributes to bridge the gap between academia and practitioners, as is shown by a willingness of the practitioners to actively participate in the research under progress.","CEG, IGOT, Universidade de Lisboa, Portugal
 UMR CNRS 5319 Passages, Université Bordeaux Montaigne, France
 GERDAL, La Houdinais, France
 LEADER France, France","Abrantes, P.",2016,,Cahiers de Geographie du Quebec,Building a prospective participatory approach for long-term agricultural sustainability in the Lezíria do Tejo region (Portugal)
